Arm Holdings plc (ARM)
date,open,close
"Jul 02, 2025",160.21,159.90
"Jul 03, 2025",159.90,162.29
"Jul 07, 2025",161.75,164.19
"Jul 08, 2025",164.56,158.88
"Jul 09, 2025",160.43,159.75
"Jul 10, 2025",160.14,158.72
"Jul 11, 2025",159.30,159.70
""
""
""
"Rockwell Automation, Inc. (ROK)"
date,open,close
"Jun 16, 2025",322.58,324.30
"Jun 17, 2025",320.93,320.41
"Jun 18, 2025",320.10,321.80
"Jun 20, 2025",324.72,321.39
"Jun 23, 2025",321.73,323.81
"Jun 24, 2025",327.08,325.95
"Jun 25, 2025",325.91,322.47
"Jun 26, 2025",323.93,326.21
"Jun 27, 2025",329.00,329.95
"Jun 30, 2025",331.34,332.17
"Jul 01, 2025",330.40,338.61
"Jul 02, 2025",338.31,342.74
"Jul 03, 2025",345.00,347.07
"Jul 07, 2025",345.73,338.93
"Jul 08, 2025",340.30,338.15
"Jul 09, 2025",342.00,340.26
"Jul 10, 2025",340.87,344.95
"Jul 11, 2025",341.25,343.07
""
""
""
NASDAQ Composite (^IXIC)
date,open,close
"Jun 16, 2025","19,550.75","19,701.21"
"Jun 17, 2025","19,627.08","19,521.09"
"Jun 18, 2025","19,526.92","19,546.27"
"Jun 20, 2025","19,639.41","19,447.41"
"Jun 23, 2025","19,427.01","19,630.97"
"Jun 24, 2025","19,809.62","19,912.53"
"Jun 25, 2025","20,013.95","19,973.55"
"Jun 26, 2025","20,062.19","20,167.91"
"Jun 27, 2025","20,217.26","20,273.46"
"Jun 30, 2025","20,360.15","20,369.73"
"Jul 01, 2025","20,290.61","20,202.89"
"Jul 02, 2025","20,184.37","20,393.13"
"Jul 03, 2025","20,497.66","20,601.10"
"Jul 07, 2025","20,490.55","20,412.52"
"Jul 08, 2025","20,466.93","20,418.46"
"Jul 09, 2025","20,522.09","20,611.34"
"Jul 10, 2025","20,636.48","20,630.66"
"Jul 11, 2025","20,562.88","20,585.53"
""
""
""
S&P 500 (^GSPC)
date,open,close
"Jun 16, 2025","6,004.00","6,033.11"
"Jun 17, 2025","6,012.15","5,982.72"
"Jun 18, 2025","5,987.93","5,980.87"
"Jun 20, 2025","5,999.67","5,967.84"
"Jun 23, 2025","5,969.67","6,025.17"
"Jun 24, 2025","6,061.21","6,092.18"
"Jun 25, 2025","6,104.23","6,092.16"
"Jun 26, 2025","6,112.09","6,141.02"
"Jun 27, 2025","6,150.70","6,173.07"
"Jun 30, 2025","6,193.36","6,204.95"
"Jul 01, 2025","6,187.25","6,198.01"
"Jul 02, 2025","6,193.88","6,227.42"
"Jul 03, 2025","6,246.46","6,279.35"
"Jul 07, 2025","6,259.04","6,229.98"
"Jul 08, 2025","6,234.03","6,225.52"
"Jul 09, 2025","6,243.33","6,263.26"
"Jul 10, 2025","6,266.80","6,280.46"
"Jul 11, 2025","6,255.68","6,259.75"
""
""
""
Dow Jones Industrial Average (^DJI)
date,open,close
"Jun 16, 2025","42,300.13","42,515.09"
"Jun 17, 2025","42,358.62","42,215.80"
"Jun 18, 2025","42,236.03","42,171.66"
"Jun 20, 2025","42,291.09","42,206.82"
"Jun 23, 2025","42,178.55","42,581.78"
"Jun 24, 2025","42,807.13","43,089.02"
"Jun 25, 2025","43,130.33","42,982.43"
"Jun 26, 2025","43,084.07","43,386.84"
"Jun 27, 2025","43,505.60","43,819.27"
"Jun 30, 2025","44,020.66","44,094.77"
"Jul 01, 2025","44,061.49","44,494.94"
"Jul 02, 2025","44,455.66","44,484.42"
"Jul 03, 2025","44,565.75","44,828.53"
"Jul 07, 2025","44,803.36","44,406.36"
"Jul 08, 2025","44,378.58","44,240.76"
"Jul 09, 2025","44,327.13","44,458.30"
"Jul 10, 2025","44,427.75","44,650.64"
"Jul 11, 2025","44,480.77","44,371.51"
""
""
""
